MINISTRY,SECTOR,STATE,AGENCY,ORIGINAL_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PERCENT,START_DATE,ORIGINAL_TARGET_DOC,PROGRESS_CHANGE,EXPENDITURE_CHANGE
MINISTRY OF RAILWAYS,RAILWAYS,MAHARASHTRA,SOUTH EAST CENTRAL RAILWAY,4373.04,1.79,2.0,2025-01-04,2031-01-03,1.0,0.79
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1194.57,862.59,99.92,2021-01-07,2024-01-01,0.0,9.450000000000044
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,"MULTI-STATES (DELHI, HARYANA)",DELHI METRO RAIL CORPORATION LIMITED [DMRC],6230.99,558.03,0.0,2025-01-01,2029-01-01,0.0,485.05
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,JHARKHAND,MINISTRY OF HOUSING & URBAN AFFAIRS,278.28,186.5,81.0,2018-01-12,2023-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],665.59,512.1,95.73,2020-01-01,2021-01-07,0.0,0.0099999999999909
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,DELHI,DELHI METRO RAIL CORPORATION LIMITED [DMRC],8399.81,120.25,3.8,2024-01-03,2029-01-03,0.1599999999999997,25.72
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,JHARKHAND,MINISTRY OF HOUSING & URBAN AFFAIRS,159.31,87.5,67.0,2018-01-12,2023-01-10,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,ANDHRA PRADESH,SOUTH CENTRAL RAILWAY [SCR] - II,1215.56,62.2,0.06,2025-01-04,2029-01-03,0.0099999999999999,62.040000000000006
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,PUNJAB,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1409.88,609.22,60.0,2024-01-04,2026-01-04,0.0,40.05000000000007
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (ANDHRA PRADESH, TELANGANA)",SOUTH CENTRAL RAILWAY [SCR] - II,2853.23,357.74,2.6,2023-01-08,2029-01-03,0.1,8.79000000000002
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,JHARKHAND,MINISTRY OF HOUSING & URBAN AFFAIRS,216.55,129.16,76.0,2018-01-12,2023-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],326.61,20.21,8.799999999999999,2025-01-10,2027-01-10,-9.990000000000004,-23.46
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (ANDHRA PRADESH, MAHARASHTRA, TELANGANA)",SOUTH CENTRAL RAILWAY [SCR] - II,4686.09,640.06,21.0,2023-01-08,2029-01-03,18.92,-1297.96
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,HARYANA,MINISTRY OF HOUSING & URBAN AFFAIRS,278.01,228.49,88.0,2017-01-11,2023-01-09,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,UTTAR PRADESH,NORTHERN RAILWAYS,2464.46,79.84,3.2300000000000004,2025-01-10,2029-01-10,0.8100000000000005,20.020000000000003
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],257.98,46.52,34.599999999999994,2025-01-03,2027-01-03,-1.0300000000000082,-9.309999999999995
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,KARNATAKA,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],3453.0,483.42,17.990000000000002,2025-01-03,2027-01-09,4.580000000000002,69.06
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (BIHAR, UTTAR PRADESH)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],3241.56,1418.27,99.75,2011-01-09,2014-01-03,4.170000000000002,169.78999999999996
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,ANDHRA PRADESH,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],2886.0,721.5,29.34,2025-01-03,2027-01-12,3.1499999999999986,0.0199999999999818
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,MAHARASHTRA,MINISTRY OF HOUSING & URBAN AFFAIRS,194.2,136.56,75.0,2019-01-09,2023-01-10,0.0,0.0
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,"MULTI-STATES (BIHAR, MADHYA PRADESH, RAJASTHAN, UTTAR PRADESH)",DEPARTMENT OF TELECOMMUNICATIONS [DOT],421.65,92.37,99.0,2021-01-03,2022-01-03,0.0,-60.59
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (ANDHRA PRADESH, TELANGANA)",SOUTH CENTRAL RAILWAY [SCR] - II,1595.55,264.89,2.0500000000000003,2025-01-03,2029-01-03,0.0100000000000002,52.77999999999997
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],687.77,47.69,14.6,2025-01-09,2028-01-03,-1.5000000000000018,-18.90000000000001
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,ASSAM,MINISTRY OF PETROLEUM & NATURAL GAS,430.76,346.97,93.4,2020-01-12,2024-01-03,1.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (KARNATAKA, TAMIL NADU)",KARNATAKA RAIL INFRASTRUCTURE DEVELOPMENT COMPANY LIMITED [K-RIDE],498.7,713.85,88.3,2019-01-02,2024-01-03,0.2999999999999971,15.340000000000032
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1373.06,837.67,96.0,2023-01-01,2025-01-06,0.0,3.669999999999959
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,KARNATAKA,MINISTRY OF PETROLEUM & NATURAL GAS,364.0,78.3,47.9,2024-01-03,2027-01-01,0.5,7.200000000000003
MINISTRY OF RAILWAYS,RAILWAYS,KARNATAKA,KARNATAKA RAIL INFRASTRUCTURE DEVELOPMENT COMPANY LIMITED [K-RIDE],314.1,173.5,56.8,2019-01-10,2024-01-03,0.3000000000000042,2.5
DEPARTMENT OF HIGHER EDUCATION,EDUCATION,DELHI,DELHI UNIVERSITY,373.0,30.13,13.0,2025-01-03,2026-01-10,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],470.75,0.89,0.0,2026-01-02,2028-01-08,0.0,0.85
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,PUNJAB,MINISTRY OF HOUSING & URBAN AFFAIRS,287.0,218.85,99.0,2020-01-08,2023-01-10,0.0,5.210000000000008
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,MAHARASHTRA,MINISTRY OF PETROLEUM AND NATURAL GAS,4679.0,276.93,11.3,2024-01-12,2028-01-03,0.6000000000000014,6.829999999999984
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,OFFSHORE,MINISTRY OF PETROLEUM & NATURAL GAS,1486.4,581.67,58.8,2024-01-09,2026-01-02,-0.8000000000000043,-37.32000000000005
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (ANDHRA PRADESH, TELANGANA)",SOUTH CENTRAL RAILWAY [SCR] - II,2047.4,208.57,0.1699999999999999,2024-01-11,2027-01-03,0.0099999999999998,-0.0200000000000102
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,PUNJAB,MINISTRY OF HOUSING & URBAN AFFAIRS,258.53,161.02,90.0,2020-01-08,2023-01-08,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,GUJARAT,MINISTRY OF RAILWAYS-,467.58,70.54,16.0,2023-01-07,2027-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (JHARKHAND, WEST BENGAL)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1560.39,91.5,100.0,2014-01-04,2016-01-09,0.0,0.0900000000000034
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,UTTAR PRADESH,MINISTRY OF HOUSING & URBAN AFFAIRS,142.46,152.65,95.0,2019-01-05,2023-01-03,0.0,0.0
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,KARNATAKA,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],288.0,20.16,7.199999999999999,2025-01-02,2027-01-06,0.0,0.0
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,GUJARAT,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],466.0,111.84,30.0,2025-01-02,2027-01-02,7.5,18.64
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,UTTAR PRADESH,MINISTRY OF HOUSING & URBAN AFFAIRS,561.74,506.52,95.0,2019-01-06,2023-01-07,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (BIHAR, JHARKHAND)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1822.46,605.5,97.92,2022-01-03,2024-01-03,0.0,0.0
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,JAMMU AND KASHMIR,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],218.6,3.72,1.7000000000000002,2024-01-07,2026-01-07,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1422.37,273.74,43.5,2024-01-10,2027-01-04,2.5,0.2200000000000272
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,RAJASTHAN,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],404.0,28.28,10.8,2025-01-03,2026-01-12,1.0,0.0
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,MAHARASHTRA,MINISTRY OF HOUSING & URBAN AFFAIRS,235.95,220.77,96.0,2017-01-07,2023-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (BIHAR, JHARKHAND)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1054.46,110.8,23.69,2024-01-12,2026-01-12,2.8099999999999987,0.0
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,GUJARAT,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],172.0,58.48,37.2,2025-01-03,2027-01-03,1.2000000000000028,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,HARYANA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],927.22,369.17,87.05000000000001,2023-01-06,2025-01-05,0.0,1.6299999999999957
MINISTRY OF RAILWAYS,RAILWAYS,TELANGANA,SOUTH CENTRAL RAILWAY [SCR] - II,770.12,87.94,0.06,2025-01-04,2029-01-04,0.0099999999999999,0.0099999999999909
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,BIHAR,MINISTRY OF HOUSING & URBAN AFFAIRS,158.78,135.72,85.0,2019-01-02,2023-01-10,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,MAHARASHTRA,SOUTH CENTRAL RAILWAY [SCR] - II,769.93,197.62,0.2,2023-01-12,2028-01-03,0.01,0.5600000000000023
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,UTTAR PRADESH,UTTAR PRADESH METRO RAIL CORPORATION [UPMRC],8379.62,6102.28,71.0,2020-01-12,2024-01-05,1.5,30.5
MINISTRY OF STEEL,STEEL,JHARKHAND,STEEL AUTHORITY OF INDIA LIMITED [SAIL],207.13,70.84,42.79,2025-01-02,2026-01-10,2.869999999999997,13.5
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],2555.5,1307.22,89.0,2023-01-03,2025-01-03,5.0,59.82999999999993
MINISTRY OF STEEL,STEEL,WEST BENGAL,STEEL AUTHORITY OF INDIA LIMITED [SAIL],196.4,59.77,32.48,2024-01-12,2026-01-05,7.679999999999996,24.410000000000004
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,UTTAR PRADESH,UTTAR PRADESH METRO RAIL CORPORATION [UPMRC],11076.48,9121.15,81.95,2019-01-11,2024-01-05,1.0499999999999972,20.0
MINISTRY OF RAILWAYS,RAILWAYS,UTTAR PRADESH,CONSTRUCTION NER,958.27,635.41,23.9,2023-01-11,2028-01-03,0.0999999999999978,0.0
MINISTRY OF STEEL,STEEL,JHARKHAND,STEEL AUTHORITY OF INDIA LIMITED [SAIL],513.82,412.95,98.72,2023-01-10,2025-01-07,1.4200000000000017,4.550000000000011
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,BIHAR,PATNA METRO RAIL CORPORATION LTD. [PMRCL],13365.77,5198.09,50.05,2019-01-02,2024-01-02,0.0499999999999971,1.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1135.39,739.28,83.19,2023-01-03,2025-01-09,0.2999999999999971,6.839999999999918
MINISTRY OF STEEL,STEEL,JHARKHAND,STEEL AUTHORITY OF INDIA LIMITED [SAIL],260.37,114.77,45.91,2024-01-04,2026-01-06,1.7399999999999949,11.909999999999997
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,MADHYA PRADESH,MADHYA PRADESH METRO RAIL CO LIMITED [MPMRCL],7500.8,4984.13,64.63,2018-01-11,2022-01-11,0.480000000000004,61.07999999999993
MINISTRY OF STEEL,STEEL,CHHATTISGARH,STEEL AUTHORITY OF INDIA LIMITED [SAIL],471.83,257.18,69.07,2023-01-12,2026-01-06,2.0,17.590000000000003
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],456.79,459.3,94.06,2020-01-12,2022-01-12,2.4099999999999966,22.579999999999984
MINISTRY OF STEEL,STEEL,CHHATTISGARH,STEEL AUTHORITY OF INDIA LIMITED [SAIL],884.1,607.98,91.18,2024-01-01,2025-01-10,1.1899999999999975,6.730000000000018
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,MADHYA PRADESH,MADHYA PRADESH METRO RAIL CO LIMITED [MPMRCL],6941.4,4334.41,62.2,2018-01-11,2022-01-11,2.259999999999998,75.15999999999985
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (KARNATAKA, MAHARASHTRA)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1388.7,1153.03,84.3,2022-01-10,2025-01-04,0.7999999999999972,22.49000000000001
MINISTRY OF STEEL,STEEL,JHARKHAND,STEEL AUTHORITY OF INDIA LIMITED [SAIL],627.31,342.26,64.09,2023-01-12,2026-01-11,2.25,11.439999999999998
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,UTTAR PRADESH,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],212.81,6.38,3.0,2024-01-12,2026-01-06,0.0,0.0
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,MAHARASHTRA,MINISTRY OF HOUSING AND URBAN AFFAIRS,600.0,523.76,84.0,2020-01-07,2023-01-07,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (KARNATAKA, MAHARASHTRA)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1479.3,1178.31,100.0,2022-01-10,2025-01-04,0.0,0.2000000000000454
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,"MULTI-STATES (BIHAR, WEST BENGAL)",POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],408.94,6.13,1.5,2024-01-11,2026-01-05,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1616.97,193.14,18.13,2023-01-11,2026-01-05,0.5899999999999999,7.509999999999991
MINISTRY OF HOUSING & URBAN AFFAIRS,REAL ESTATE,UTTARAKHAND,MINISTRY OF HOUSING AND URBAN AFFAIRS,150.97,56.76,40.05,2019-01-08,2023-01-11,0.0,0.0
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,"MULTI-STATES (BIHAR, ODISHA, WEST BENGAL)",POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],342.69,119.94,29.73,2024-01-09,2026-01-03,0.0,17.14
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],2330.71,197.23,73.96000000000001,2022-01-12,2024-01-12,0.0,0.3799999999999954
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,MADHYA PRADESH,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],370.0,114.7,45.55,2024-01-06,2026-01-12,10.519999999999996,0.0
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,MAHARASHTRA,MINISTRY OF HOUSING AND URBAN AFFAIRS,262.76,17.62,6.0,2019-01-03,2022-01-07,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1454.67,690.64,98.87,2018-01-01,2020-01-07,0.0,0.0800000000000409
MINISTRY OF STEEL,STEEL,JHARKHAND,STEEL AUTHORITY OF INDIA LIMITED [SAIL],211.94,58.8,49.9,2025-01-02,2027-01-01,2.3999999999999986,0.1599999999999966
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,GUJARAT,GUJARAT METRO RAIL CORPORATION LIMITED [GMRCL],12020.32,9031.25,80.25,2019-01-03,2024-01-03,0.75,101.60000000000036
MINISTRY OF STEEL,STEEL,WEST BENGAL,STEEL AUTHORITY OF INDIA LIMITED [SAIL],227.96,85.71,71.17999999999999,2024-01-12,2026-01-07,4.810000000000002,10.049999999999995
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,ANDHRA PRADESH,MINISTRY OF HOUSING & URBAN AFFAIRS,172.22,88.86,82.0,2018-01-07,2023-01-03,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,ANDHRA PRADESH,SOUTH CENTRAL RAILWAY [SCR] - II,877.34,206.02,0.1699999999999999,2024-01-10,2027-01-03,0.0099999999999998,0.6700000000000159
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],844.67,586.54,91.32,2019-01-03,2021-01-09,0.0,48.02999999999997
DEPARTMENT OF HIGHER EDUCATION,EDUCATION,PUNJAB,CENTRAL UNIVERSITY OF PUNJAB,210.99,87.16,48.0,2025-01-04,2027-01-10,0.0,6.099999999999994
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,TAMIL NADU,CHENNAI METRO RAIL LIMITED [CMRL],63246.0,33774.0,53.36,2020-01-11,2029-01-08,0.8100000000000023,644.6699999999983
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (BIHAR, UTTAR PRADESH)",NER,1120.0,414.21,26.5,2024-01-03,2027-01-12,0.1000000000000014,12.389999999999986
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,PUNJAB,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1474.77,864.82,82.06,2022-01-08,2024-01-08,1.0100000000000051,-1.2999999999999543
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,KARNATAKA,BENGALURU METRO RAIL,14788.1,10376.43,66.0,2019-01-01,2026-01-06,1.0,99.98999999999978
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,MAHARASHTRA,MAHARASHTRA METRO RAIL CORPORATION LIMITED [MMRCL],910.18,285.68,44.6,2023-01-10,2027-01-01,3.020000000000003,15.939999999999998
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],411.16,120.44,35.05,2025-01-01,2026-01-10,-1.5900000000000034,-14.039999999999992
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,MAHARASHTRA,MAHARASHTRA METRO RAIL CORPORATION LIMITED [MMRCL],2954.53,51.68,5.4,2024-01-09,2029-01-03,0.2000000000000001,5.549999999999997
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,KERALA,CSPCC PROJECTS,1957.05,752.34,38.0,2022-01-11,2026-01-11,1.8299999999999983,6.009999999999991
MINISTRY OF RAILWAYS,RAILWAYS,BIHAR,EAST CENTRAL RAILWAY [ECR] - I,611.74,0.0,0.0,2024-01-06,2028-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,PUNJAB,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],524.88,388.52,96.0,2022-01-03,2023-01-09,0.0,1.4499999999999886
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],766.51,439.63,93.55,2019-01-02,2021-01-02,0.0,0.2599999999999909
MINISTRY OF COAL,COAL,MAHARASHTRA,WESTERN COALFIELDS LIMITED [WCL],379.3,0.0,0.01,2025-01-01,2030-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],828.58,405.49,100.0,2019-01-04,2021-01-04,0.0,0.0600000000000022
MINISTRY OF RAILWAYS,RAILWAYS,BIHAR,EAST CENTRAL RAILWAY [ECR] - I,4079.95,9.31,0.0,2025-01-11,2029-01-11,0.0,6.640000000000001
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,MAHARASHTRA,MUMBAI METRO RAIL CORPORATION LIMITED [MMRC],23136.0,33648.26,97.86,2016-01-06,2023-01-03,0.0699999999999931,121.56999999999972
MINISTRY OF STEEL,STEEL,WEST BENGAL,STEEL AUTHORITY OF INDIA LIMITED [SAIL],2115.44,687.24,60.51,2024-01-08,2027-01-06,2.960000000000001,123.10000000000002
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1438.74,1051.89,99.2,2021-01-04,2023-01-04,0.0,0.0
MINISTRY OF STEEL,STEEL,CHHATTISGARH,STEEL AUTHORITY OF INDIA LIMITED [SAIL],198.62,108.84,80.47,2024-01-08,2026-01-07,0.7399999999999949,33.68000000000001
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,KARNATAKA,BENGALURU METRO RAIL,26405.14,29812.97,95.6,2016-01-02,2021-01-03,0.0999999999999943,10.0
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (BIHAR, WEST BENGAL)",NORTHEAST FRONTIER RAILWAY [NFR],942.64,656.16,66.0,2022-01-08,2026-01-08,1.0,44.96999999999992
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1237.71,68.73,18.44,2025-01-12,2027-01-12,-0.1199999999999974,-8.239999999999995
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,DELHI,DELHI METRO RAIL CORPORATION LIMITED [DMRC],24948.65,20545.86,81.32000000000001,2019-01-07,2025-01-03,0.7600000000000051,195.11000000000055
MINISTRY OF STEEL,STEEL,WEST BENGAL,STEEL AUTHORITY OF INDIA LIMITED [SAIL],758.09,265.54,43.36,2024-01-10,2026-01-06,5.240000000000002,46.21000000000001
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (KARNATAKA, TAMIL NADU)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1260.74,656.08,88.75,2023-01-05,2025-01-05,12.989999999999997,44.98000000000002
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,MAHARASHTRA,MAHARASHTRA METRO RAIL CORPORATION LIMITED [MMRCL],6708.0,1940.06,39.5,2022-01-12,2027-01-12,1.5,28.029999999999973
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],955.49,427.43,35.96,2023-01-01,2025-01-01,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1603.53,226.57,34.760000000000005,2024-01-12,2027-01-06,1.9300000000000068,29.930000000000007
MINISTRY OF RAILWAYS,RAILWAYS,RAJASTHAN,NORTH WESTERN RAILWAY [NWR],1634.79,447.64,22.0,2024-01-02,2027-01-06,10.0,70.26999999999998
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],984.63,798.12,100.0,2021-01-01,2023-01-07,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,KARNATAKA,SOUTH WESTERN RAILWAY [SWR] - II,2565.0,2373.6,70.5,2009-01-05,2019-01-03,0.5,80.33999999999969
MINISTRY OF COAL,COAL,MAHARASHTRA,WESTERN COALFIELDS LIMITED [WCL],235.9,127.42,98.97,2018-01-09,2024-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,PUNJAB,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1754.84,884.83,50.56,2023-01-01,2025-01-01,2.3599999999999994,84.73000000000002
MINISTRY OF RAILWAYS,RAILWAYS,CHHATTISGARH,RAIL VIKAS NIGAM LIMITED,1628.0,1440.85,82.0,2009-01-12,2025-01-09,0.0,0.0
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,UTTAR PRADESH,NOIDA METRO RAIL CORPORATION LTD. [NMRCL],2254.35,0.0,0.0,2026-01-03,2030-01-03,,
